source_database,pmid,doi,year,title,abstract,journal,query,corpus,openalex_id,source_db,doi_clean,pmid_clean,title_clean,dedup_key,url,relevance_score,relevance_class,taxon_scope,stx_term_count,gene_term_count,dinoflagellate_term_count,cyanobacteria_term_count,environment_term_count,matched_stx_terms,matched_gene_terms,matched_dinoflagellate_terms,matched_cyanobacteria_terms,matched_environment_terms
PubMed,38705616.0,10.1016/j.hal.2024.102620,2024.0,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.,"The marine dinoflagellate Alexandrium is known to form harmful algal blooms, and at least 14 species within the genus can produce saxitoxins (STXs). STX biosynthesis genes (sxt) are individually revealed in toxic dinoflagellates; however, the evolutionary history remains controversial. Herein, we determined the transcriptome sequences of toxic Alexandrium (A. catenella and A. pacificum) and non-toxic Alexandrium (A. fraterculus and A. fragae) and characterized their sxt by focusing on evolutionary events and STX production. Comparative transcriptome analysis revealed higher homology of the sxt in toxic Alexandrium than in non-toxic species. Notably, non-toxic Alexandrium spp. were found to have lost two sxt core genes, namely sxtA4 and sxtG. Expression levels of 28 transcripts related to eight sxt core genes showed that sxtA, sxtG, and sxtI were relatively high (>1.5) in the toxic group compared to the non-toxic group. In contrast, the non-toxic group showed high expression levels in sxtU (1.9) and sxtD (1.7). Phylogenetic tree comparisons revealed distinct evolutionary patterns between 28S rDNA and sxtA, sxtB, sxtI, sxtD, and sxtU. However, similar topology was observed between 28S rDNA, sxtS, and sxtH/T. In the sxtB and sxtI phylogeny trees, toxic Alexandrium and cyanobacteria were clustered together, separating from non-toxic species. These suggest that Alexandrium may acquire sxt genes independently via horizontal gene transfer from toxic cyanobacteria and other multiple sources, demonstrating monocistronic transcripts of sxt in dinoflagellates.",Harmful algae,saxitoxin dinoflagellate,dinoflagellate_stx,,,10.1016/j.hal.2024.102620,38705616.0,polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate alexandrium revealed by comparative transcriptomics,doi:10.1016/j.hal.2024.102620,,61,high_confidence_stx_biosynthesis,cross_taxa,3,11,3,1,0,saxitoxin; saxitoxins; stx,saxitoxin biosynthesis; sxt genes; sxta; sxta4; sxtb; sxtd; sxtg; sxth; sxti; sxts; sxtu,alexandrium; dinoflagellate; dinoflagellates,cyanobacteria,
PubMed,40449983.0,10.1016/j.hal.2025.102872,2025.0,Transcriptomic comparison unveils saxitoxin biosynthesis genes in the marine dinoflagellate Gymnodinium catenatum.,"The marine dinoflagellate Gymnodinium catenatum is known to produce saxitoxins (STXs) that are responsible for paralytic shellfish poisoning (PSP); however, the genes involved in STX synthesis are insufficiently understood. In the present study, we determined transcriptome sequences of toxic G. catenatum isolated from Korea (Gc-KR) and compared them with G. catenatum strains reported in other regions such as Spain (Gc-SP) and the United States (Gc-US). Toxin analysis showed that the Korean strain produced the toxins at 6.0 ± 1.9 STXs eq fmol/cell. Comparative transcriptomics of the three strains identified more than 1000 homologs of nearly all STXs biosynthesis genes in dinoflagellates, except sxtB, sxtN, and sxtY. Gene expression analysis revealed similar sxt expression patterns across all strains, with the highest expression levels observed for sxtA and sxtG. Phylogenetic analysis of sxtA, sxtG, sxtI, sxtU, and sxtS revealed distinct evolutionary patterns, with sxtA being more conserved across G. catenatum, Alexandrium spp., and toxic cyanobacteria, particularly at the sxtA4 domain, suggesting its significance in STXs synthesis. Other sxt genes in G. catenatum showed distinct patterns and significant divergence from Alexandrium spp., suggesting independent acquisition in G. catenatum. Moreover, the absence of core genes, such as sxtB, indicates it may not be essential for STXs production in G. catenatum. These findings provide insight into the sxt candidate genes in G. catenatum, enhancing our understanding of STXs biosynthesis in dinoflagellates.",Harmful algae,saxitoxin dinoflagellate,dinoflagellate_stx,,,10.1016/j.hal.2025.102872,40449983.0,transcriptomic comparison unveils saxitoxin biosynthesis genes in the marine dinoflagellate gymnodinium catenatum,doi:10.1016/j.hal.2025.102872,,60,high_confidence_stx_biosynthesis,cross_taxa,4,9,5,1,0,paralytic shellfish poisoning; saxitoxin; saxitoxins; stx,saxitoxin biosynthesis; sxt genes; sxta; sxta4; sxtb; sxtg; sxti; sxts; sxtu,alexandrium; dinoflagellate; dinoflagellates; gymnodinium; gymnodinium catenatum,cyanobacteria,
PubMed,32307068.0,10.1016/j.hal.2020.101777,2020.0,Comparative transcriptomics of toxin synthesis genes between the non-toxin producing dinoflagellate Cochlodinium polykrikoides and toxigenic Alexandrium pacificum.,"In the present study, we extensively characterized potential toxin-related genes, including polyketide synthase (PKS), saxitoxin (STX) and fatty acid synthase (FAS) from the non-toxin producing marine dinoflagellate Cochlodinium polykrikoides, comparing to those of a toxigenic dinoflagellate Alexandrium pacificum. RNA sequencing revealed 50 and 271 PKS contigs from C. polykrikoides and A. pacificum, respectively. According to domain constitute and amino acid alteration, we further classified the dinoflagellate type I PKS genes into 4 sub-groups. Type III PKS was first identified in C. polykrikoides. Interestingly, we detected a large number (242 and 288) of homologs of 18 sxt genes from two studied dinoflagellates. Most of the eight key genes (sxtA, sxtB, sxtD, sxtG, sxtH/T, sxtI, sxtS and sxtU) for STX synthesis were detected in both dinoflatellates, whereas a core STX biosynthesis gene sxtG was not detected in C. polykrikoides. This may partially explain the absence of saxitoxin production in C. polykrikoides. In addition, we identified several type I and type II FAS genes, including FabD, FabF, FabG, FabH, FabI, and FabZ, whereas FabB was not found in C. polykrikoides. Overall, the numbers of the toxin-related genes in C. polykrikoides were less than that of A. pacificum. Phylogenetic analyses showed that type I PKS/FASs of dinoflagellates had close relationships with apicomplexans and bacteria. These suggest that the toxin-related PKS and sxt genes are commonly present in toxigenic and non-toxin producing dinoflagellates, and may be involved not only in the toxin synthesis, but also in other related molecular metabolic functions.",Harmful algae,saxitoxin dinoflagellate,dinoflagellate_stx,,,10.1016/j.hal.2020.101777,32307068.0,comparative transcriptomics of toxin synthesis genes between the non toxin producing dinoflagellate cochlodinium polykrikoides and toxigenic alexandrium pacificum,doi:10.1016/j.hal.2020.101777,,50,high_confidence_stx_biosynthesis,dinoflagellate,2,9,4,0,0,saxitoxin; stx,sxt genes; sxta; sxtb; sxtd; sxtg; sxth; sxti; sxts; sxtu,alexandrium; alexandrium pacificum; dinoflagellate; dinoflagellates,,
OpenAlex,,,2016.0,Gene expression in the biosynthesis of Paralytic Shellfish Poisoning (PSP) toxins in dinoflagellates: a mini review,"Some dinoflagellates are known to synthesize saxitoxin (STX), a potent neurotoxin that causes severe paralytic shellfish poisoning (PSP). In addition, several freshwater species of cyanobacteria also synthesize the same toxin with the same biosynthetic pathway and genes responsible. This review focuses on the gene expression involved in the biosynthesis pathway of PSP toxins in dinoflagellates. The expression of the PSP biosynthetic genes have been identified in certain cyanobacteria and the dinoflagellate Alexandrium sp. with eight genes involved viz. sxtA, sxtB, sxtD, sxtG, sxtH/T, sxtI, sxtS and sxtU. sxtA, a unique starting gene, and sxtG, the second “core” gene appearing in the biosynthesis of PSP toxins are found in both cyanobacteria and Alexandrium sp. Three theories have been proposed to explain the origin of PSP toxin in dinoflagellates: I) the genes are produced by bacteria associated with the dinoflagellates, II) independent evolution III) horizontal gene transfer between cyanobacteria and dinoflagellates. Useful information regarding the expression and function of genes involved in the STX biosynthesis pathway provides an understanding of toxin production and possible mitigation and public health management of STX poisoning.",UMS Institutional Repository (Universiti Malaysia Sabah),paralytic shellfish toxins dinoflagellate,dinoflagellate_stx,https://openalex.org/W2561709494,,,,gene expression in the biosynthesis of paralytic shellfish poisoning psp toxins in dinoflagellates a mini review,title:gene expression in the biosynthesis of paralytic shellfish poisoning psp toxins in dinoflagellates a mini review,,49,high_confidence_stx_biosynthesis,cross_taxa,3,8,3,1,0,paralytic shellfish poisoning; saxitoxin; stx,sxta; sxtb; sxtd; sxtg; sxth; sxti; sxts; sxtu,alexandrium; dinoflagellate; dinoflagellates,cyanobacteria,
PubMed,37544673.0,10.1016/j.hal.2023.102473,2023.0,Effects of nitrate on the saxitoxins biosynthesis revealed by sxt genes in the toxic dinoflagellate Alexandrium pacificum (group IV).,"The dinoflagellate Alexandrium pacificum (group IV) is of particular interest because of its involvement in harmful algal blooms and production of saxitoxin (STX), which causes paralytic shellfish poisoning. The toxicity from STX and its analogues (STXs) is suspected to be affected by nitrogen (N) availability. However, the toxicity-associated behavior and STX-biosynthesis gene responses of the toxic A. pacificum under N fluctuations have not been sufficiently investigated. In the present study, we identified the sxtI gene involved in sxt biosynthesis pathway and evaluated the effects of nitrate (NO<sub>3</sub><sup>-</sup>) on STXs production and the expression of four sxt core genes (sxtA4, sxtG, sxtB, and sxtI). Quantification of total STXs levels in the cultures under different NO<sub>3</sub><sup>-</sup> regimes showed that NO<sub>3</sub><sup>-</sup> concentration influenced STXs production. In addition, the proportion and concentration of STXs varied depending on the NO<sub>3</sub><sup>-</sup> concentration. Core sxt transcript abundance was also influenced by available NO<sub>3</sub><sup>-</sup> in a time-dependent manner. Expressional levels and patterns of sxtI were correlated with those of sxtA and sxtB. The relationship between the toxins and sxt responses in A. pacificum under various NO<sub>3</sub><sup>-</sup> regimes suggests the direct involvement of N in the STXs biosynthesis pathway. Understanding this link would provide a tool to understand the toxin dynamics of dinoflagellates following N shifts in marine environments.",Harmful algae,saxitoxin dinoflagellate,dinoflagellate_stx,,,10.1016/j.hal.2023.102473,37544673.0,effects of nitrate on the saxitoxins biosynthesis revealed by sxt genes in the toxic dinoflagellate alexandrium pacificum group iv,doi:10.1016/j.hal.2023.102473,,46,high_confidence_stx_biosynthesis,dinoflagellate,4,6,4,0,2,paralytic shellfish poisoning; saxitoxin; saxitoxins; stx,sxt genes; sxta; sxta4; sxtb; sxtg; sxti,alexandrium; alexandrium pacificum; dinoflagellate; dinoflagellates,,nitrate; nitrogen
CrossRef,,10.64898/2026.03.24.713948,,Paralytic Shellfish Toxin production in Alexandrium minutum (Dinophyceae): insights from omics integration using toxigenic and non-toxigenic recombinant progeny,"<jats:p>Paralytic Shellfish Toxins (PSTs) are produced by certain species of cyanobacteria and dinoflagellates. Part of the PST biosynthetic pathway has been elucidated in cyanobacteria, and the implication of some sxt genes has been confirmed by experimental studies. Contrary to cyanobacteria, knowledge about PST biosynthesis in dinoflagellates is more limited and generally restricted to comparative studies with the cyanobacterial pathway. To investigate the specificity of the PST pathway in dinoflagellates, 16 toxic and non-toxic A. minutum strains from a recombinant cross were compared, without prior assumption on genes or metabolites involved in PST synthesis, using an integrative approach combining untargeted metabolomic and transcriptomic data. Among the 60 most distinguishing transcripts between toxic and non-toxic strains, only 3 sxt genes were present, sxtA4, sxtG, and sxtI. In contrast, non-sxt homologs were detected as highly discriminant between these two phenotypes. More specifically, a phyH homolog may act as the analog of sxtS found in cyanobacteria. Moreover, we identified four putative synthetic PST intermediates. Among these, Int-C'2, correlated with the toxic phenotype, whereas 3 others were detected in both toxic and non-toxic strains, suggesting that these strains may share some parts of the biosynthetic pathway. Finally, our results showed that PST biosynthesis in dinoflagellate results from the activity of sxt genes, acquired by horizontal gene transfer from cyanobacteria, as well as from other genes not acquired from cyanobacteria, such as phyH.</jats:p>",,Alexandrium nitrogen toxin production,dinoflagellate_stx,,,10.64898/2026.03.24.713948,,paralytic shellfish toxin production in alexandrium minutum dinophyceae insights from omics integration using toxigenic and non toxigenic recombinant progeny,doi:10.64898/2026.03.24.713948,,44,high_confidence_stx_biosynthesis,cross_taxa,4,5,4,2,0,paralytic shellfish toxin; paralytic shellfish toxins; pst; psts,sxt genes; sxta4; sxtg; sxti; sxts,alexandrium; alexandrium minutum; dinoflagellate; dinoflagellates,cyanobacteria; cyanobacterial,
PubMed,20714432.0,10.3390/md8072185,2010.0,Neurotoxic alkaloids: saxitoxin and its analogs.,"Saxitoxin (STX) and its 57 analogs are a broad group of natural neurotoxic alkaloids, commonly known as the paralytic shellfish toxins (PSTs). PSTs are the causative agents of paralytic shellfish poisoning (PSP) and are mostly associated with marine dinoflagellates (eukaryotes) and freshwater cyanobacteria (prokaryotes), which form extensive blooms around the world. PST producing dinoflagellates belong to the genera Alexandrium, Gymnodinium and Pyrodinium whilst production has been identified in several cyanobacterial genera including Anabaena, Cylindrospermopsis, Aphanizomenon Planktothrix and Lyngbya. STX and its analogs can be structurally classified into several classes such as non-sulfated, mono-sulfated, di-sulfated, decarbamoylated and the recently discovered hydrophobic analogs--each with varying levels of toxicity. Biotransformation of the PSTs into other PST analogs has been identified within marine invertebrates, humans and bacteria. An improved understanding of PST transformation into less toxic analogs and degradation, both chemically or enzymatically, will be important for the development of methods for the detoxification of contaminated water supplies and of shellfish destined for consumption. Some PSTs also have demonstrated pharmaceutical potential as a long-term anesthetic in the treatment of anal fissures and for chronic tension-type headache. The recent elucidation of the saxitoxin biosynthetic gene cluster in cyanobacteria and the identification of new PST analogs will present opportunities to further explore the pharmaceutical potential of these intriguing alkaloids.",Marine drugs,saxitoxin dinoflagellate,dinoflagellate_stx,,,10.3390/md8072185,20714432.0,neurotoxic alkaloids saxitoxin and its analogs,doi:10.3390/md8072185,,44,high_confidence_stx_biosynthesis,cross_taxa,6,1,4,7,0,paralytic shellfish poisoning; paralytic shellfish toxins; pst; psts; saxitoxin; stx,saxitoxin biosynthetic,alexandrium; dinoflagellates; gymnodinium; pyrodinium,anabaena; aphanizomenon; cyanobacteria; cyanobacterial; cylindrospermopsis; lyngbya; planktothrix,
PubMed,41832047.0,10.1016/j.hal.2026.103084,2026.0,Saxitoxin biosynthesis genes in the marine dinoflagellate Gymnodinium: Transcriptomes of toxic and non-toxic species and their environmental insights.,"Saxitoxin (STX) is a highly potent neurotoxin produced by toxigenic marine dinoflagellates, threatening both ecosystem stability and human health. Within the dinoflagellate genus Gymnodinium, all species are considered non-STX producers except G. catenatum, which produces STX and is responsible for paralytic shellfish toxins (PSTs). However, within this genus the genetic basis of toxigenicity remains unknown. Here, we used toxin profiling and transcriptome sequencing to investigate the saxitoxin biosynthesis genes (sxt) in the non-toxigenic G. impudicum in comparison with non-toxigenic G. smaydae and toxigenic G. catenatum. Toxin analysis revealed that G. impudicum lacked detectable PSTs. Transcriptome analysis identified 288, 323, and 368 sxt homologs in G. impudicum, G. smaydae, and G. catenatum, respectively. Interestingly, G. impudicum lacked core genes, sxtA and sxtG, whereas G. smaydae retained a complete set of sxt genes similar to G. catenatum. All the Gymnodinium species lacked sxtB, highlighting genus-specific gene loss. Phylogenetic analyses recovered G. smaydae and G. catenatum withing the same grouping for most sxt genes with G. impudicum placed in separate grouping. These results suggest that the non-toxigenicity of G. impudicum may be due to the loss of core sxt genes, whereas G. smaydae retains the sxt gene repertoire, indicating that other regulatory factors beyond gene presence likely influence STX production. Our findings deepen understanding of STX biosynthesis in dinoflagellates, highlighting sxt gene compositions between toxigenic and non-toxigenic Gymnodinium species.",Harmful algae,saxitoxin dinoflagellate,dinoflagellate_stx,,,10.1016/j.hal.2026.103084,41832047.0,saxitoxin biosynthesis genes in the marine dinoflagellate gymnodinium transcriptomes of toxic and non toxic species and their environmental insights,doi:10.1016/j.hal.2026.103084,,43,high_confidence_stx_biosynthesis,dinoflagellate,4,6,3,0,1,paralytic shellfish toxins; psts; saxitoxin; stx,saxitoxin biosynthesis; sxt gene; sxt genes; sxta; sxtb; sxtg,dinoflagellate; dinoflagellates; gymnodinium,,environmental
OpenAlex,,10.21608/sjsci.2024.269303.1179,2024.0,Toxin Profile of the Dinoflagellate Gymnodinium Catenatum Bloom in Libyan Mediterranean Coastal Waters,"This study describes the occurrence of the toxic dinoflagellate Gymnodinium catenatum bloom in Libyan Mediterranean coastal water. G. catenatum exhibited high abundance (3.5x105 cells L-1) in Tajoura coastal water during September 2023. The high abundance of G. catenatum associated with the increase in nutrient concentrations in sea water caused by anthropogenic discharge. Cysts of G. catenation were also identified (125 cysts g‑1) in sediment samples collected from the study area during the bloom event. The analysis of high-performance liquid chromatography with fluorescence detection (HPLC-FLD) revealed that of G. catenatum bloom was able to produce paralytic shellfish toxins (PSTs) with a profile consisting of saxitoxin (STX), decarbamoyl-STX (dcSTX), neosaxitoxin (NeoSTX), gonyautoxin-1 (GTX1), GTX2, GTX3, GTX4, and C1/C2 toxins with varying concentrations (11.2, 5.3, 3.3, 2.4, 1.9, 18.2, 16.3, 41fg cell-1, respectively). Similarly, a strain culture of G. catenatum isolated from this bloom produced the same toxin profile as the bloom, but with different proportions of toxin variants. Cultured cells produced approximately 1.5 times more toxin than cells from bloom samples. The results of our study contribute to the knowledge of the toxicity of G. catenatum bloom in Libya coastal waters and provide valuable information on the persistence of G. catenatum cells and cysts which could lead to yjr bloom recurring in the water column. Therefore, the study suggests monitoring programmes for harmful dinoflagellates and their cysts in Libyan coastal waters to protect the marine ecosystem and seafood animals from exposure to such potent toxins.",Sohag Journal of Sciences,Gymnodinium catenatum saxitoxin,dinoflagellate_stx,https://openalex.org/W4399534371,,10.21608/sjsci.2024.269303.1179,,toxin profile of the dinoflagellate gymnodinium catenatum bloom in libyan mediterranean coastal waters,doi:10.21608/sjsci.2024.269303.1179,,43,dinoflagellate_stx,dinoflagellate,11,0,4,0,2,dcstx; gonyautoxin; gtx1; gtx2; gtx3; gtx4; neosaxitoxin; paralytic shellfish toxins; psts; saxitoxin; stx,,dinoflagellate; dinoflagellates; gymnodinium; gymnodinium catenatum,,bloom; nutrient
PubMed,28073499.0,10.1016/j.hal.2016.04.005,2016.0,Physiological and transcriptional responses to inorganic nutrition in a tropical Pacific strain of Alexandrium minutum: Implications for the saxitoxin genes and toxin production.,"Saxitoxins (STXs) constitute a family of potent sodium channel blocking toxins, causative agents of paralytic shellfish poisoning (PSP), and are produced by several species of marine dinoflagellates and cyanobacteria. Two STX-core genes, sxtA and sxtG, have been well elucidated in Alexandrium but the expression of these genes under various nutritional modes in tropical species remains unclear. This study investigates the physiological responses of a tropical Pacific strain of Alexandrium minutum growing with nitrate or ammonium, and with various nitrogen to phosphorus (N:P) supply ratios. The transcriptional responses of the sxt genes were observed. Likewise, a putative sxtI encoding O-carbamoyltransferase (herein designated as AmsxtI) was recovered from the transcriptomic data, and its expression was investigated. The results revealed that the cellular toxin quota (Q<sub>t</sub>) was higher in P-depleted, nitrate-grown cultures. With cultures at similar N:P (<16), cells grown with excess ammonium showed a higher Q<sub>t</sub> than those grown with nitrate. sxtA1 was not expressed under any culture conditions, suggesting that this gene might not be involved in STX biosynthesis by this strain. Conversely, sxtA4 and sxtG showed positive correlations with Q<sub>t</sub>, and were up-regulated in P-depleted, nitrate-grown cultures and with excess ambient ammonium. On the other hand, AmsxtI was expressed only when induced by P-depletion, suggesting that this gene may play an important role in P-recycling metabolism, while simultaneously enhancing toxin production.",Harmful algae,saxitoxin dinoflagellate,dinoflagellate_stx,,,10.1016/j.hal.2016.04.005,28073499.0,physiological and transcriptional responses to inorganic nutrition in a tropical pacific strain of alexandrium minutum implications for the saxitoxin genes and toxin production,doi:10.1016/j.hal.2016.04.005,,43,high_confidence_stx_biosynthesis,cross_taxa,4,5,3,1,3,paralytic shellfish poisoning; saxitoxin; saxitoxins; stx,sxt genes; sxta; sxta4; sxtg; sxti,alexandrium; alexandrium minutum; dinoflagellates,cyanobacteria,nitrate; nitrogen; phosphorus
