source_database,pmid,doi,year,title,abstract,journal,query,corpus,openalex_id,source_db,doi_clean,pmid_clean,title_clean,dedup_key,url,relevance_score,relevance_class,taxon_scope,stx_term_count,gene_term_count,dinoflagellate_term_count,cyanobacteria_term_count,environment_term_count,matched_stx_terms,matched_gene_terms,matched_dinoflagellate_terms,matched_cyanobacteria_terms,matched_environment_terms
PubMed,38705616.0,10.1016/j.hal.2024.102620,2024.0,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.,"The marine dinoflagellate Alexandrium is known to form harmful algal blooms, and at least 14 species within the genus can produce saxitoxins (STXs). STX biosynthesis genes (sxt) are individually revealed in toxic dinoflagellates; however, the evolutionary history remains controversial. Herein, we determined the transcriptome sequences of toxic Alexandrium (A. catenella and A. pacificum) and non-toxic Alexandrium (A. fraterculus and A. fragae) and characterized their sxt by focusing on evolutionary events and STX production. Comparative transcriptome analysis revealed higher homology of the sxt in toxic Alexandrium than in non-toxic species. Notably, non-toxic Alexandrium spp. were found to have lost two sxt core genes, namely sxtA4 and sxtG. Expression levels of 28 transcripts related to eight sxt core genes showed that sxtA, sxtG, and sxtI were relatively high (>1.5) in the toxic group compared to the non-toxic group. In contrast, the non-toxic group showed high expression levels in sxtU (1.9) and sxtD (1.7). Phylogenetic tree comparisons revealed distinct evolutionary patterns between 28S rDNA and sxtA, sxtB, sxtI, sxtD, and sxtU. However, similar topology was observed between 28S rDNA, sxtS, and sxtH/T. In the sxtB and sxtI phylogeny trees, toxic Alexandrium and cyanobacteria were clustered together, separating from non-toxic species. These suggest that Alexandrium may acquire sxt genes independently via horizontal gene transfer from toxic cyanobacteria and other multiple sources, demonstrating monocistronic transcripts of sxt in dinoflagellates.",Harmful algae,cyanobacteria saxitoxin,cyanobacteria_stx,,,10.1016/j.hal.2024.102620,38705616.0,polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate alexandrium revealed by comparative transcriptomics,doi:10.1016/j.hal.2024.102620,,61,high_confidence_stx_biosynthesis,cross_taxa,3,11,3,1,0,saxitoxin; saxitoxins; stx,saxitoxin biosynthesis; sxt genes; sxta; sxta4; sxtb; sxtd; sxtg; sxth; sxti; sxts; sxtu,alexandrium; dinoflagellate; dinoflagellates,cyanobacteria,
PubMed,40449983.0,10.1016/j.hal.2025.102872,2025.0,Transcriptomic comparison unveils saxitoxin biosynthesis genes in the marine dinoflagellate Gymnodinium catenatum.,"The marine dinoflagellate Gymnodinium catenatum is known to produce saxitoxins (STXs) that are responsible for paralytic shellfish poisoning (PSP); however, the genes involved in STX synthesis are insufficiently understood. In the present study, we determined transcriptome sequences of toxic G. catenatum isolated from Korea (Gc-KR) and compared them with G. catenatum strains reported in other regions such as Spain (Gc-SP) and the United States (Gc-US). Toxin analysis showed that the Korean strain produced the toxins at 6.0 ± 1.9 STXs eq fmol/cell. Comparative transcriptomics of the three strains identified more than 1000 homologs of nearly all STXs biosynthesis genes in dinoflagellates, except sxtB, sxtN, and sxtY. Gene expression analysis revealed similar sxt expression patterns across all strains, with the highest expression levels observed for sxtA and sxtG. Phylogenetic analysis of sxtA, sxtG, sxtI, sxtU, and sxtS revealed distinct evolutionary patterns, with sxtA being more conserved across G. catenatum, Alexandrium spp., and toxic cyanobacteria, particularly at the sxtA4 domain, suggesting its significance in STXs synthesis. Other sxt genes in G. catenatum showed distinct patterns and significant divergence from Alexandrium spp., suggesting independent acquisition in G. catenatum. Moreover, the absence of core genes, such as sxtB, indicates it may not be essential for STXs production in G. catenatum. These findings provide insight into the sxt candidate genes in G. catenatum, enhancing our understanding of STXs biosynthesis in dinoflagellates.",Harmful algae,cyanobacteria saxitoxin,cyanobacteria_stx,,,10.1016/j.hal.2025.102872,40449983.0,transcriptomic comparison unveils saxitoxin biosynthesis genes in the marine dinoflagellate gymnodinium catenatum,doi:10.1016/j.hal.2025.102872,,60,high_confidence_stx_biosynthesis,cross_taxa,4,9,5,1,0,paralytic shellfish poisoning; saxitoxin; saxitoxins; stx,saxitoxin biosynthesis; sxt genes; sxta; sxta4; sxtb; sxtg; sxti; sxts; sxtu,alexandrium; dinoflagellate; dinoflagellates; gymnodinium; gymnodinium catenatum,cyanobacteria,
OpenAlex,,,2016.0,Gene expression in the biosynthesis of Paralytic Shellfish Poisoning (PSP) toxins in dinoflagellates: a mini review,"Some dinoflagellates are known to synthesize saxitoxin (STX), a potent neurotoxin that causes severe paralytic shellfish poisoning (PSP). In addition, several freshwater species of cyanobacteria also synthesize the same toxin with the same biosynthetic pathway and genes responsible. This review focuses on the gene expression involved in the biosynthesis pathway of PSP toxins in dinoflagellates. The expression of the PSP biosynthetic genes have been identified in certain cyanobacteria and the dinoflagellate Alexandrium sp. with eight genes involved viz. sxtA, sxtB, sxtD, sxtG, sxtH/T, sxtI, sxtS and sxtU. sxtA, a unique starting gene, and sxtG, the second “core” gene appearing in the biosynthesis of PSP toxins are found in both cyanobacteria and Alexandrium sp. Three theories have been proposed to explain the origin of PSP toxin in dinoflagellates: I) the genes are produced by bacteria associated with the dinoflagellates, II) independent evolution III) horizontal gene transfer between cyanobacteria and dinoflagellates. Useful information regarding the expression and function of genes involved in the STX biosynthesis pathway provides an understanding of toxin production and possible mitigation and public health management of STX poisoning.",UMS Institutional Repository (Universiti Malaysia Sabah),cyanobacteria paralytic shellfish toxins,cyanobacteria_stx,https://openalex.org/W2561709494,,,,gene expression in the biosynthesis of paralytic shellfish poisoning psp toxins in dinoflagellates a mini review,title:gene expression in the biosynthesis of paralytic shellfish poisoning psp toxins in dinoflagellates a mini review,,49,high_confidence_stx_biosynthesis,cross_taxa,3,8,3,1,0,paralytic shellfish poisoning; saxitoxin; stx,sxta; sxtb; sxtd; sxtg; sxth; sxti; sxts; sxtu,alexandrium; dinoflagellate; dinoflagellates,cyanobacteria,
OpenAlex,,,2015.0,Quantification of Toxin Biosynthesis Genes In Cyanobacteria and Dinoflagellates - Genetic Factors as Predictors of Toxin Production in the Environment,"Harmful algal blooms (HABs) are events caused by the massive proliferation of microscopic, often photosynthetic organisms that inhabit both fresh and marine waters. Although HABs are essentially a natural phenomenon, they now cause worldwide concern. Recent anthropogenic effects, such as climate change and eutrophication via nutrient runoff, can be seen in their increased prevalence and severity. Cyanobacteria and dinoflagellates are often the causative organisms of HABs. In addition to adverse effects caused by the sheer biomass, certain species produce highly potent toxic compounds: hepatotoxic microcystins are produced exclusively by cyanobacteria and neurotoxic saxitoxins, also known as paralytic shellfish toxins (PSTs), by both cyanobacteria and dinoflagellates. Specific biosynthetic genes in the cyanobacterial genomes direct the production of microcystin and paralytic shellfish toxins. Recently also the first paralytic shellfish toxin gene sequences from dinoflagellate genomes have been elucidated. &#13;\n&#13;\nThe public health risks presented by HABs are evident, but the monitoring and prediction of toxic events is challenging. Characterization of the genetic background of toxin biosynthesis, including that of microcystins and paralytic shellfish toxins, has made it possible to develop highly sensitive molecular tools which have shown promise in the monitoring and study of potentially toxic microalgae. In this doctoral work, toxin-specific genes were targeted in the developed PCR and qPCR assays for the detection and quantification of potentially toxic cyanobacteria and dinoflagellates in the environment. The correlation between the copy numbers of the toxin biosynthesis genes and toxin production were investigated to assess whether the developed methods could be used to predict toxin concentrations. &#13;\n&#13;\nThe nature of the correlation between gene copy numbers and amount of toxin produced varied depending on the targeted gene and the producing organism. The combined mcyB copy numbers of three potentially microcystin-producing cyanobacterial genera showed significant positive correlation to the observed total toxin production. However, the presence of PST-specific sxtA, sxtG, and sxtB genes of cyanobacterial origin was found to be a poor predictor of toxin production in the studied area. Conversely, the dinoflagellate sxtA4 was a good qualitative indicator of a neurotoxic bloom both in the laboratory and in the field, and population densities reflected well the observed toxin concentrations. In conclusion, although the specificity of each potential targeted toxin biosynthesis gene must be assessed individually during method development, the results obtained in this doctoral study support the use of quantitative PCR -based approaches in the monitoring of toxic cyanobacteria and dinoflagellates.",Doria (University of Helsinki),cyanobacteria sxtA,cyanobacteria_stx,https://openalex.org/W2173633990,,,,quantification of toxin biosynthesis genes in cyanobacteria and dinoflagellates genetic factors as predictors of toxin production in the environment,title:quantification of toxin biosynthesis genes in cyanobacteria and dinoflagellates genetic factors as predictors of toxin production in the environment,,46,high_confidence_stx_biosynthesis,cross_taxa,5,5,2,2,3,paralytic shellfish toxin; paralytic shellfish toxins; pst; psts; saxitoxins,sxta; sxta4; sxtb; sxtg; toxin biosynthesis,dinoflagellate; dinoflagellates,cyanobacteria; cyanobacterial,bloom; climate; nutrient
OpenAlex,,,2015.0,Transport of saxitoxin (stx) and its analogues in filamentous freshwater cyanobacteria,"Paralytic shellfish poisoning toxins (PSTs) are a group of naturally occurring neurotoxicalkaloids (saxitoxin and analogues) produced among several genera of freshwatercyanobacteria and marine dinoflagellates. The functional role of PSTs in the ecology andevolution of toxigenic cyanobacteria and dinoflagellates remains unknown, though subject to continual speculation, regarding chemical defense and/or ion transport and regulatory interactions. Determining whether these toxins are exported to the environment and knowing the mechanisms used in this process, can allow us to understand the role that PSTs play in the environment.The sxt cluster is responsible for the production of saxitoxin (STX) and its derivatives.In cyanobacteria, the sxt cluster has a core of 15 genes which have been conserved, both in sequence and synteny, among 5 clusters described to date. This gene cluster encodes MATE (multidrug and toxic compound extrusion) transporter family proteins: SxtF and SxtM,candidates for toxin export. This protein family, represented by NorM in the bacterium Vibrio parahaemolyticus, confers resistance to multiple cationic toxic agents through Na+/drug antiporters.The aim of this project was to identify whether PSTs can be exported by SxtF andSxtM in cyanobacteria, evaluating the role of sodium in this process, and to determine thesub-cellular location of both proteins. The accurate identification of the PSTs profiles in cyanobacteria was a primary task in order to identify the function of the genes present in the cluster. Presently, it has not been possible to perform mutagenesis experiments or heterologous expression of this kind of cluster. Cylindrospermopsis raciborskii T3, a toxigenic freshwater cyanobacterium, has been used as a model to study the physiology and elucidate the biosynthetic pathway of PSTs.Nevertheless; there are several inconsistencies and contradictions in the published toxin profiles for T3. An initial report claimed that this strain produced STX and gonyautoxins 2 and 3 (GTX2/3), whereas a subsequent study arose the profile: STX and the N-sulfocarbamoyl derivatives C1/2. When the T3 strain was used to identify the sequence of the sxt cluster, thetoxin profile was considered to comprise STX, NEO, dcSTX and B1.Our analysis of the complete genome of another PST-producing cyanobacterium,Raphidiopsis brookii D9, closely related to C. raciborskii T3, as well as the PST profile in both strains by liquid chromatography coupled to mass spectrometry (LC-MS/MS), has resolved many issues regarding the correlation between biosynthetic pathways, putative genes and the T3 toxin profile. Our reassessment of the PST profile of T3 by LC-MS/MS confirmed production of only STX, NEO and dcNEO. We analyzed SxtF/M sequences of eight PST-producing cyanobacteria. Phylogeneticanalyses of SxtF/M showed a high conservation of SxtF (100% identity) in theCylindrospermopsis-Raphidiopsis clade, suggesting conserved substrate affinity by this transporter. Two domains involved in Na+ and drug recognition from NorM proteins (MATEfamily) of V. parahaemolyticus and V. cholerae are present in SxtF/M. The Na+ recognition domain was conserved in both SxtF/M, indicating that Na+ can maintain the role as a cation anti-transporter. Although the putative consensus motif for toxin binding differed between SxtF and SxtM, implying differential substrate binding, by protein modeling and docking analysis, we found that there is no marked affinity between the recognition domain and aspecific PST analogue. This agrees with our results of PST export in R. brookii D9, where we observed that the response to Na+ incubation was similar to different analogues. It was not possible to establish a correlation between presence of sxtF and/or sxtM and a specific PST profile.Based upon the importance of monovalent cations (such as sodium) in themaintenance of cellular homeostasis and ion channel function, we examined the effect ofhigh extracellular concentrations of Na+, K+ and Li+ on growth, cellular integrity, toxinproduction and release to the external medium in R. brookii D9 (GTX2/3 and STX producing).We observed toxin export in response to high (17 mM) NaCl and KCl concentrations in thegrowth medium that was not initially related to osmotic stress effects, compared to theosmolyte mannitol. Addition of exogenous PSTs with the same compositional profile as theone produced by R. brookii D9 was able to partially mitigate the effect of high Na+ (17 mM).Finally, bioinformatic analysis shows that at least six proteins encoded by sxt genescould be located or anchored to the membrane (SxtA, SxtD, SxtF, SxtJ, SxtM and SxtU). Weconfirmed by immunolocalization the presence of SxtA, enzyme responsible for the earlystages of STX synthesis, SxtF and SxtM, associated with cytoplasmic and thylakoidsmembranes in R. brookii D9 and C. raciborskii MVCC14. We propose that Sxt proteins could form a “complex” anchored to the membrane. Posterior studies are necessary to determinewhy these proteins are also located in thylakoids membranes. These results reassert the hypothesis regarding the involvement of Na+ and SxtF/M in toxin recognition, and therefore in toxin export.",LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas),cyanobacteria sxtA,cyanobacteria_stx,https://openalex.org/W3043668702,,,,transport of saxitoxin stx and its analogues in filamentous freshwater cyanobacteria,title:transport of saxitoxin stx and its analogues in filamentous freshwater cyanobacteria,,45,high_confidence_stx_biosynthesis,cross_taxa,8,3,1,3,1,dcstx; gonyautoxins; gtx2; paralytic shellfish poisoning; pst; psts; saxitoxin; stx,sxta; sxtd; sxtu,dinoflagellates,cyanobacteria; cyanobacterium; cylindrospermopsis,stress
OpenAlex,,10.64898/2026.03.24.713948,2026.0,Paralytic Shellfish Toxin production in Alexandrium minutum (Dinophyceae): insights from omics integration using toxigenic and non-toxigenic recombinant progeny,"Paralytic Shellfish Toxins (PSTs) are produced by certain species of cyanobacteria and dinoflagellates. Part of the PST biosynthetic pathway has been elucidated in cyanobacteria, and the implication of some sxt genes has been confirmed by experimental studies. Contrary to cyanobacteria, knowledge about PST biosynthesis in dinoflagellates is more limited and generally restricted to comparative studies with the cyanobacterial pathway. To investigate the specificity of the PST pathway in dinoflagellates, 16 toxic and non-toxic A. minutum strains from a recombinant cross were compared, without prior assumption on genes or metabolites involved in PST synthesis, using an integrative approach combining untargeted metabolomic and transcriptomic data. Among the 60 most distinguishing transcripts between toxic and non-toxic strains, only 3 sxt genes were present, sxtA4, sxtG, and sxtI. In contrast, non-sxt homologs were detected as highly discriminant between these two phenotypes. More specifically, a phyH homolog may act as the analog of sxtS found in cyanobacteria. Moreover, we identified four putative synthetic PST intermediates. Among these, Int-C'2, correlated with the toxic phenotype, whereas 3 others were detected in both toxic and non-toxic strains, suggesting that these strains may share some parts of the biosynthetic pathway. Finally, our results showed that PST biosynthesis in dinoflagellate results from the activity of sxt genes, acquired by horizontal gene transfer from cyanobacteria, as well as from other genes not acquired from cyanobacteria, such as phyH.",bioRxiv (Cold Spring Harbor Laboratory),cyanobacteria sxtG,cyanobacteria_stx,https://openalex.org/W7141555499,,10.64898/2026.03.24.713948,,paralytic shellfish toxin production in alexandrium minutum dinophyceae insights from omics integration using toxigenic and non toxigenic recombinant progeny,doi:10.64898/2026.03.24.713948,,44,high_confidence_stx_biosynthesis,cross_taxa,4,5,4,2,0,paralytic shellfish toxin; paralytic shellfish toxins; pst; psts,sxt genes; sxta4; sxtg; sxti; sxts,alexandrium; alexandrium minutum; dinoflagellate; dinoflagellates,cyanobacteria; cyanobacterial,
PubMed,20714432.0,10.3390/md8072185,2010.0,Neurotoxic alkaloids: saxitoxin and its analogs.,"Saxitoxin (STX) and its 57 analogs are a broad group of natural neurotoxic alkaloids, commonly known as the paralytic shellfish toxins (PSTs). PSTs are the causative agents of paralytic shellfish poisoning (PSP) and are mostly associated with marine dinoflagellates (eukaryotes) and freshwater cyanobacteria (prokaryotes), which form extensive blooms around the world. PST producing dinoflagellates belong to the genera Alexandrium, Gymnodinium and Pyrodinium whilst production has been identified in several cyanobacterial genera including Anabaena, Cylindrospermopsis, Aphanizomenon Planktothrix and Lyngbya. STX and its analogs can be structurally classified into several classes such as non-sulfated, mono-sulfated, di-sulfated, decarbamoylated and the recently discovered hydrophobic analogs--each with varying levels of toxicity. Biotransformation of the PSTs into other PST analogs has been identified within marine invertebrates, humans and bacteria. An improved understanding of PST transformation into less toxic analogs and degradation, both chemically or enzymatically, will be important for the development of methods for the detoxification of contaminated water supplies and of shellfish destined for consumption. Some PSTs also have demonstrated pharmaceutical potential as a long-term anesthetic in the treatment of anal fissures and for chronic tension-type headache. The recent elucidation of the saxitoxin biosynthetic gene cluster in cyanobacteria and the identification of new PST analogs will present opportunities to further explore the pharmaceutical potential of these intriguing alkaloids.",Marine drugs,cyanobacteria saxitoxin,cyanobacteria_stx,,,10.3390/md8072185,20714432.0,neurotoxic alkaloids saxitoxin and its analogs,doi:10.3390/md8072185,,44,high_confidence_stx_biosynthesis,cross_taxa,6,1,4,7,0,paralytic shellfish poisoning; paralytic shellfish toxins; pst; psts; saxitoxin; stx,saxitoxin biosynthetic,alexandrium; dinoflagellates; gymnodinium; pyrodinium,anabaena; aphanizomenon; cyanobacteria; cyanobacterial; cylindrospermopsis; lyngbya; planktothrix,
PubMed,28073499.0,10.1016/j.hal.2016.04.005,2016.0,Physiological and transcriptional responses to inorganic nutrition in a tropical Pacific strain of Alexandrium minutum: Implications for the saxitoxin genes and toxin production.,"Saxitoxins (STXs) constitute a family of potent sodium channel blocking toxins, causative agents of paralytic shellfish poisoning (PSP), and are produced by several species of marine dinoflagellates and cyanobacteria. Two STX-core genes, sxtA and sxtG, have been well elucidated in Alexandrium but the expression of these genes under various nutritional modes in tropical species remains unclear. This study investigates the physiological responses of a tropical Pacific strain of Alexandrium minutum growing with nitrate or ammonium, and with various nitrogen to phosphorus (N:P) supply ratios. The transcriptional responses of the sxt genes were observed. Likewise, a putative sxtI encoding O-carbamoyltransferase (herein designated as AmsxtI) was recovered from the transcriptomic data, and its expression was investigated. The results revealed that the cellular toxin quota (Q<sub>t</sub>) was higher in P-depleted, nitrate-grown cultures. With cultures at similar N:P (<16), cells grown with excess ammonium showed a higher Q<sub>t</sub> than those grown with nitrate. sxtA1 was not expressed under any culture conditions, suggesting that this gene might not be involved in STX biosynthesis by this strain. Conversely, sxtA4 and sxtG showed positive correlations with Q<sub>t</sub>, and were up-regulated in P-depleted, nitrate-grown cultures and with excess ambient ammonium. On the other hand, AmsxtI was expressed only when induced by P-depletion, suggesting that this gene may play an important role in P-recycling metabolism, while simultaneously enhancing toxin production.",Harmful algae,cyanobacteria saxitoxin,cyanobacteria_stx,,,10.1016/j.hal.2016.04.005,28073499.0,physiological and transcriptional responses to inorganic nutrition in a tropical pacific strain of alexandrium minutum implications for the saxitoxin genes and toxin production,doi:10.1016/j.hal.2016.04.005,,43,high_confidence_stx_biosynthesis,cross_taxa,4,5,3,1,3,paralytic shellfish poisoning; saxitoxin; saxitoxins; stx,sxt genes; sxta; sxta4; sxtg; sxti,alexandrium; alexandrium minutum; dinoflagellates,cyanobacteria,nitrate; nitrogen; phosphorus
PubMed,41702991.0,10.1038/s41598-026-40315-x,2026.0,Transcriptomic insights into polyketides and toxin biosynthesis genes in freshwater dinoflagellates.,"Freshwater dinoflagellates are typically considered non-toxic, and their polyketides and toxin biosynthesis genes are largely unexplored. Here, we generated and analyzed the transcriptome of freshwater dinoflagellate Palatinus apiculatus and compared it with the transcriptome data from Peridinium bipes and Ceratium furcoides to investigate the presence and diversity of polyketide synthases (PKS), fatty acid synthases (FAS), and saxitoxin (STX) biosynthesis genes (sxt). We identified 95, 117, and 39 PKS-related transcripts in P. apiculatus, P. bipes, and C. furcoides, respectively, which include single-domain PKS, multi-domain PKS, and hybrid NRPS/PKS. Phylogenetic analysis revealed a novel clade of ketosynthase (KS) domains unique to freshwater dinoflagellates, suggesting species-specific diversification. Conserved catalytic residues were found in type II FAS genes across both freshwater and marine taxa. Although core STX biosynthesis genes were absent in all analyzed species, several STX-associated transcripts, including sxtA4, sxtU, sxtS, sxtD, sxtH/T, and sxtI, were identified. Phylogenetic analysis of the sxtA4 domain revealed that freshwater dinoflagellate sequences form a distinct clade from those of toxic marine dinoflagellates and cyanobacteria while retaining conserved active sites, suggesting potential functional variation. These findings reveal unique PKS and STX gene features in freshwater dinoflagellates, highlighting their previously unrecognized biosynthetic diversity, ecological roles, and biotechnological potential.",Scientific reports,cyanobacteria saxitoxin,cyanobacteria_stx,,,10.1038/s41598-026-40315-x,41702991.0,transcriptomic insights into polyketides and toxin biosynthesis genes in freshwater dinoflagellates,doi:10.1038/s41598-026-40315-x,,40,high_confidence_stx_biosynthesis,cross_taxa,2,7,2,1,0,saxitoxin; stx,sxta4; sxtd; sxth; sxti; sxts; sxtu; toxin biosynthesis,dinoflagellate; dinoflagellates,cyanobacteria,
PubMed,28604648.0,10.3390/toxins9060190,2017.0,"Prevalence, Variability and Bioconcentration of Saxitoxin-Group in Different Marine Species Present in the Food Chain.","The saxitoxin-group (STX-group) corresponds to toxic metabolites produced by cyanobacteria and dinoflagellates of the genera <i>Alexandrium, Gymnodinium</i>, and <i>Pyrodinium</i>. Over the last decade, it has been possible to extrapolate the areas contaminated with the STX-group worldwide, including Chile, a phenomenon that has affected ≈35% of the Southern Pacific coast territory, generating a high economic impact. The objective of this research was to study the toxicity of the STX-group in all aquatic organisms (bivalves, algae, echinoderms, crustaceans, tunicates, cephalopods, gastropods, and fish) present in areas with a variable presence of harmful algal blooms (HABs). Then, the toxic profiles of each species and dose of STX equivalents ingested by a 60 kg person from 400 g of shellfish were determined to establish the health risk assessment. The toxins with the highest prevalence detected were gonyautoxin-4/1 (GTX4/GTX1), gonyautoxin-3/2 (GTX3/GTX2), neosaxitoxin (neoSTX), decarbamoylsaxitoxin (dcSTX), and saxitoxin (STX), with average concentrations of 400, 2800, 280, 200, and 2000 µg kg<sup>-1</sup> respectively, a species-specific variability, dependent on the evaluated tissue, which demonstrates the biotransformation of the analogues in the trophic transfer with a predominance of α-epimers in all toxic profiles. The identification in multiple vectors, as well as in unregulated species, suggests that a risk assessment and risk management update are required; also, chemical and specific analyses for the detection of all analogues associated with the STX-group need to be established.",Toxins,cyanobacteria saxitoxin,cyanobacteria_stx,,,10.3390/toxins9060190,28604648.0,prevalence variability and bioconcentration of saxitoxin group in different marine species present in the food chain,doi:10.3390/toxins9060190,,40,dinoflagellate_stx,cross_taxa,10,0,4,1,0,dcstx; decarbamoylsaxitoxin; gonyautoxin; gtx1; gtx2; gtx3; gtx4; neosaxitoxin; saxitoxin; stx,,alexandrium; dinoflagellates; gymnodinium; pyrodinium,cyanobacteria,
