Source,Source_Type,Target,Target_Type,Hypothesis_Class,Score,Bridge_Score,Common_Neighbors,Distinct_Bridge_Types,Adamic_Adar,Jaccard,Preferential_Attachment,Degree_Source,Degree_Target,Bridge_Nodes,Bridge_Types,Training_Graph,Candidate_Status,Embedding_Source_Target_Similarity,Embedding_Bridge_Mean_Similarity,Node2Vec_Integrated_Score,ML_Probability,Final_AI_Rank_Score
toxicity,BIOLOGICAL_PROCESS,expression,BIOLOGICAL_PROCESS,semantic_hypothesis,575.226447872181,195.0,41,7,10.87989060275715,0.5466666666666666,3264,68,48,dinoflagellate; alexandrium; saxitoxin; paralytic_shellfish_toxins; paralytic_shellfish_poisoning; dinoflagellates; alexandrium_catenella; regulation; alexandrium_minutum; biosynthesis; cyanobacteria; alexandrium_tamarense; nutrient; sxta; phylogenetic; toxin_production; alexandrium_fundyense; bloom; light; evolution,DINO_TAXON; DINO_TAXON; TOXIN; TOXIN; TOXIN; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; BIOLOGICAL_PROCESS; CYANO_TAXON; DINO_TAXON; ENV_FACTOR; SXT_GENE; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; ENV_FACTOR; ENV_FACTOR; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
gonyautoxin,TOXIN,alexandrium_fundyense,DINO_TAXON,taxon_toxin_association,497.0579613648809,165.0,36,7,9.216480682440437,0.5625,2499,51,49,alexandrium; dinoflagellate; saxitoxin; toxicity; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; dinoflagellates; toxin_production; nutrient; bloom; gtx; light; nitrogen; temperature; nitrate; phylogenetic; biosynthesis; cyanobacteria; phosphate; phosphorus,DINO_TAXON; DINO_TAXON; TOXIN; BIOLOGICAL_PROCESS; TOXIN; TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; ENV_FACTOR; ENV_FACTOR; TOXIN; ENV_FACTOR; ENV_FACTOR; ENV_FACTOR; ENV_FACTOR; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; CYANO_TAXON; ENV_FACTOR; ENV_FACTOR,dino_pre2016,unvalidated_candidate,,,,,
pyrodinium,DINO_TAXON,gtx,TOXIN,taxon_toxin_association,477.97341664274126,165.0,32,6,8.179690777510995,0.5614035087719298,1950,50,39,dinoflagellate; saxitoxin; paralytic_shellfish_poisoning; alexandrium; toxicity; gymnodinium; paralytic_shellfish_toxins; gonyautoxin; dinoflagellates; neosaxitoxin; hplc; gymnodinium_catenatum; temperature; mouse_bioassay; nutrient; toxin_production; salinity; biosynthesis; saxitoxin_biosynthesis; light,DINO_TAXON; TOXIN; TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; TOXIN; TOXIN; DINO_TAXON; TOXIN; DETECTION_METHOD; DINO_TAXON; ENV_FACTOR; DETECTION_METHOD; ENV_FACTOR; BIOLOGICAL_PROCESS; ENV_FACTOR; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; ENV_FACTOR,dino_pre2016,unvalidated_candidate,,,,,
cyanobacteria,CYANO_TAXON,temperature,ENV_FACTOR,semantic_hypothesis,473.7891207346496,158.0,35,6,8.964004811769271,0.4861111111111111,2772,63,44,saxitoxin; dinoflagellate; alexandrium; paralytic_shellfish_toxins; dinoflagellates; paralytic_shellfish_poisoning; bloom; toxicity; alexandrium_tamarense; hplc; regulation; alexandrium_minutum; toxin_production; pyrodinium; gonyautoxin; saxitoxin_biosynthesis; nutrient; biosynthesis; gymnodinium; gymnodinium_catenatum,TOXIN; DINO_TAXON; DINO_TAXON; TOXIN; DINO_TAXON; TOXIN; ENV_FACTOR; BIOLOGICAL_PROCESS; DINO_TAXON; DETECTION_METHOD; BIOLOGICAL_PROCESS; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; TOXIN; BIOLOGICAL_PROCESS; ENV_FACTOR; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON,dino_pre2016,unvalidated_candidate,,,,,
paralytic_shellfish_toxins,TOXIN,saxitoxin_biosynthesis,BIOLOGICAL_PROCESS,process_toxin_association,462.5661464616956,143.0,40,6,10.580370528145101,0.5405405405405406,3024,72,42,saxitoxin; biosynthesis; alexandrium; dinoflagellate; dinoflagellates; cyanobacteria; sxta; paralytic_shellfish_poisoning; alexandrium_fundyense; cyanobacterial; phylogenetic; gymnodinium; gymnodinium_catenatum; pyrodinium; evolution; toxicity; phylogeny; temperature; toxin_production; phosphate,TOXIN; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; DINO_TAXON; CYANO_TAXON; SXT_GENE; TOXIN; DINO_TAXON; CYANO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; ENV_FACTOR; BIOLOGICAL_PROCESS; ENV_FACTOR,dino_pre2016,unvalidated_candidate,,,,,
gymnodinium,DINO_TAXON,nitrogen,ENV_FACTOR,semantic_hypothesis,461.70092925029,142.0,39,7,10.142131291811658,0.5416666666666666,3038,62,49,alexandrium; dinoflagellate; toxicity; dinoflagellates; saxitoxin; bloom; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; alexandrium_tamarense; alexandrium_minutum; toxin_production; gonyautoxin; light; biosynthesis; cyanobacteria; nutrients; hplc; expression; harmful_algal_bloom; regulation,DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; TOXIN; ENV_FACTOR; TOXIN; TOXIN; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; TOXIN; ENV_FACTOR; BIOLOGICAL_PROCESS; CYANO_TAXON; ENV_FACTOR; DETECTION_METHOD; BIOLOGICAL_PROCESS; ENV_FACTOR; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
gymnodinium_catenatum,DINO_TAXON,nitrogen,ENV_FACTOR,semantic_hypothesis,452.1051581060114,137.0,39,7,10.142131291811658,0.582089552238806,2793,57,49,alexandrium; dinoflagellate; toxicity; dinoflagellates; saxitoxin; bloom; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; alexandrium_tamarense; alexandrium_minutum; gonyautoxin; light; biosynthesis; cyanobacteria; toxin_production; hplc; expression; harmful_algal_bloom; nutrients; pyrodinium,DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; TOXIN; ENV_FACTOR; TOXIN; TOXIN; DINO_TAXON; DINO_TAXON; TOXIN; ENV_FACTOR; BIOLOGICAL_PROCESS; CYANO_TAXON; BIOLOGICAL_PROCESS; DETECTION_METHOD; BIOLOGICAL_PROCESS; ENV_FACTOR; ENV_FACTOR; DINO_TAXON,dino_pre2016,unvalidated_candidate,,,,,
pyrodinium_bahamense,DINO_TAXON,gtx,TOXIN,taxon_toxin_association,448.5132277088681,150.0,32,6,8.179690777510995,0.6153846153846154,1755,45,39,dinoflagellate; saxitoxin; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; dinoflagellates; toxicity; gonyautoxin; neosaxitoxin; gymnodinium; hplc; alexandrium; temperature; gymnodinium_catenatum; mouse_bioassay; nutrient; salinity; toxin_production; saxitoxin_biosynthesis; light; mass_spectrometry,DINO_TAXON; TOXIN; TOXIN; TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; TOXIN; TOXIN; DINO_TAXON; DETECTION_METHOD; DINO_TAXON; ENV_FACTOR; DINO_TAXON; DETECTION_METHOD; ENV_FACTOR; ENV_FACTOR; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; ENV_FACTOR; DETECTION_METHOD,dino_pre2016,unvalidated_candidate,,,,,
pyrodinium,DINO_TAXON,expression,BIOLOGICAL_PROCESS,semantic_hypothesis,445.9366148015557,143.0,34,7,8.812057400777869,0.53125,2400,50,48,dinoflagellate; saxitoxin; paralytic_shellfish_toxins; paralytic_shellfish_poisoning; dinoflagellates; alexandrium; sxta; nutrient; toxin_production; bloom; light; cyanobacterial; regulation; biosynthesis; cyanobacteria; gymnodinium; gymnodinium_catenatum; saxitoxin_biosynthesis; evolution; alexandrium_minutum,DINO_TAXON; TOXIN; TOXIN; TOXIN; DINO_TAXON; DINO_TAXON; SXT_GENE; ENV_FACTOR; BIOLOGICAL_PROCESS; ENV_FACTOR; ENV_FACTOR; CYANO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; CYANO_TAXON; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON,dino_pre2016,unvalidated_candidate,,,,,
temperature,ENV_FACTOR,phylogenetic,BIOLOGICAL_PROCESS,semantic_hypothesis,401.9155254274418,131.0,30,6,7.538407875011252,0.4838709677419355,2112,44,48,saxitoxin; dinoflagellate; alexandrium; dinoflagellates; toxicity; paralytic_shellfish_toxins; paralytic_shellfish_poisoning; alexandrium_tamarense; bloom; gonyautoxin; saxitoxin_biosynthesis; biosynthesis; toxin_production; gymnodinium; gymnodinium_catenatum; pyrodinium; alexandrium_fundyense; gtx; alexandrium_catenella; neosaxitoxin,TOXIN; DINO_TAXON; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; TOXIN; TOXIN; DINO_TAXON; ENV_FACTOR; TOXIN; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; DINO_TAXON; DINO_TAXON; TOXIN; DINO_TAXON; TOXIN,dino_pre2016,unvalidated_candidate,,,,,
gtx,TOXIN,sxta,SXT_GENE,semantic_hypothesis,399.5441540804594,130.0,30,6,7.566194687288519,0.4411764705882353,2301,39,59,saxitoxin; alexandrium; dinoflagellate; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; dinoflagellates; toxicity; alexandrium_tamarense; alexandrium_minutum; gymnodinium; alexandrium_fundyense; biosynthesis; toxin_production; gymnodinium_catenatum; saxitoxin_biosynthesis; alexandrium_catenella; light; toxin_biosynthesis; nutrient; phylogenetic,TOXIN; DINO_TAXON; DINO_TAXON; TOXIN; TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; ENV_FACTOR; BIOLOGICAL_PROCESS; ENV_FACTOR; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
