Source,Target,Source_Type,Target_Type,Hypothesis_Type,Common_Neighbor_Count,Weighted_Common_Neighbor_Score,Adamic_Adar_Score,Preferential_Attachment,Source_Degree,Target_Degree,Source_Weighted_Degree,Target_Weighted_Degree,Semantic_Bonus,Structural_Score,Bridge_Nodes,Bridge_Relation_Hints,Priority_Bonus,Priority_Score,Biological_Category,Has_STX_Gene_Signal,Has_Environment_Signal,Has_Evolution_Signal,Has_Regulation_Signal,Validated_in_Post2015,ML_Score,Priority_Score_Norm,ML_Score_Norm,Final_AI_Discovery_Score
evolution,genes involved,EVOLUTIONARY_PROCESS,PHRASE_GENE_MECHANISM,EVOLUTION_GENE_MECHANISM_HYPOTHESIS,33,44.0,8.594,6532,71,92,101.0,124.0,1.5,139.3479,Alexandrium catenella; Alexandrium fundyense; Alexandrium minutum; Evolution; Gymnodinium catenatum; STX biosynthesis; STX-producing; amidinotransferase; biosynthesis; biosynthesis in dinoflagellates; biosynthetic pathway; gene cluster; gene expression; gene transfer; homologs; horizontal gene; horizontal gene transfer; involved in stx; involved in stx biosynthesis; nitrogen; origin of saxitoxin; saxitoxin; saxitoxin biosynthesis; saxitoxin biosynthesis in dinoflagellates; saxitoxin synthesis; secondary metabolites; stx biosynthesis; stx-producing dinoflagellates; sxtA; sxtA1; sxtA4; sxtG; toxin production,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,161.8479,Evolutionary mechanism,True,True,True,True,1,0.8085647919396017,0.9262983685333603,0.87617478667335,0.9037427566963557
sxtA,temperature,GENE,ENV_FACTOR,ENV_GENE_HYPOTHESIS,18,34.0,4.3804,11210,118,95,191.0,178.0,3.0,120.8108,Alexandrium catenella; Alexandrium fundyense; Alexandrium minutum; Alexandrium tamarense; Gymnodinium catenatum; Pyrodinium bahamense; biosynthesis; cellular toxin; cellular toxin content; paralytic shellfish toxin; paralytic shellfish toxins; saxitoxin; saxitoxin analogues; saxitoxin biosynthesis; toxin content; toxin production; toxin profile; toxin synthesis,ABSENT_IN;ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,143.3108,Environmental driver,True,True,False,False,1,0.9223669073203691,0.8150630432121435,1.0,0.898284673766679
saxitoxin biosynthesis,nitrogen,PHRASE_TOXIN_PHENOTYPE,ENV_FACTOR,ENV_TOXIN_PHENOTYPE_HYPOTHESIS,25,32.0,6.3713,6400,80,80,112.0,121.0,2.5,113.2425,Alexandrium fundyense; Alexandrium minutum; GTX; Saxitoxin; biosynthesis; biosynthesis gene; conservation; differences in toxin; evolution; gene expression; gene transfer; genes involved; horizontal gene; horizontal gene transfer; metabolic pathways; phosphate; saxitoxin; saxitoxin synthesis; sxtA; sxtA1; sxtG; toxin analogues; toxin composition; toxin content; toxin production,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,135.7425,Environmental driver,True,True,True,True,1,0.8285952301349112,0.7696480477366612,0.8979694015999864,0.8273926569751575
biosynthesis,nitrate,BIOLOGICAL_MECHANISM,ENV_FACTOR,ENV_MECHANISM_HYPOTHESIS,21,27.0,5.4306,7750,125,62,193.0,98.0,2.5,107.6113,Alexandrium catenella; Alexandrium fundyense; Alexandrium minutum; Alexandrium tamarense; GTX; Saxitoxin; cellular toxin; cellular toxin content; environmental conditions; metabolic pathways; nitrogen; paralytic shellfish toxin; paralytic shellfish toxins; phosphate; saxitoxin; temperature; toxicity of alexandrium; toxin composition; toxin content; toxin production; toxin synthesis,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,19.5,127.1113,Environmental driver,False,True,False,False,1,0.8728138994551733,0.7178549226031458,0.9460826211414871,0.8205573869453994
toxin profiles,sxtA,TOXIN,GENE,GENE_TOXIN_HYPOTHESIS,16,37.0,4.0332,10030,85,118,276.0,191.0,2.0,110.7164,Alexandrium catenella; Alexandrium fundyense; Alexandrium tamarense; Gymnodinium catenatum; nitrogen; nitrogen limitation; paralytic shellfish toxin; paralytic shellfish toxins; phosphorus; phylogeny; production of toxins; saxitoxin; saxitoxin analogues; saxitoxin-producing dinoflagellates; toxin content; toxin profile,ABSENT_IN;ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,133.2164,Gene-toxin biology,True,True,True,False,1,0.7582906125595996,0.7544897136232384,0.8214727192669378,0.7846320661629032
sxtA,nitrate,GENE,ENV_FACTOR,ENV_GENE_HYPOTHESIS,15,24.0,3.5959,7316,118,62,191.0,98.0,3.0,88.7719,Alexandrium catenella; Alexandrium fundyense; Alexandrium minutum; Alexandrium tamarense; Saxitoxin; cellular toxin; cellular toxin content; nitrogen; paralytic shellfish toxin; paralytic shellfish toxins; saxitoxin; toxin content; toxin production; toxin profile; toxin synthesis,ABSENT_IN;ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,111.2719,Environmental driver,True,True,False,False,1,0.8929209567764029,0.6228076491950679,0.9679606034078274,0.7781264785908097
temperature,sxtA1,ENV_FACTOR,GENE,ENV_GENE_HYPOTHESIS,15,20.0,3.621,6365,95,67,178.0,81.0,3.0,82.067,Alexandrium minutum; Gymnodinium catenatum; Pyrodinium bahamense; biosynthesis; cellular toxin; cellular toxin content; paralytic shellfish toxin; paralytic shellfish toxins; saxitoxin; saxitoxin analogues; saxitoxin biosynthesis; toxic dinoflagellate; toxin content; toxin production; toxin profile,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,104.567,Environmental driver,True,True,False,False,0,0.9210958178102875,0.582573646425151,0.9986169595423029,0.7697931373278695
toxin production,sxtA4,TOXIN,GENE,GENE_TOXIN_HYPOTHESIS,17,22.0,4.0235,6215,113,55,197.0,66.0,3.5,87.6219,Alexandrium fundyense; Alexandrium minutum; Alexandrium tamarense; biosynthesis; evolution; gene cluster; gene expression; genes involved; paralytic shellfish toxin; paralytic shellfish toxins; saxitoxin; saxitoxin biosynthesis; sxtA; sxtA1; sxta gene; toxin content; toxin profile,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,20.5,108.1219,Gene-toxin biology,True,False,True,True,1,0.8760831542571204,0.6039054867876884,0.94963981488886,0.7594859344332157
biosynthesis,salinity,BIOLOGICAL_MECHANISM,ENV_FACTOR,ENV_MECHANISM_HYPOTHESIS,18,24.0,4.4941,8500,125,68,193.0,120.0,2.5,101.9881,Alexandrium catenella; Alexandrium minutum; Alexandrium tamarense; GTX; Pyrodinium bahamense; Toxin content; cellular toxin; cellular toxin content; environmental conditions; paralytic shellfish toxin; paralytic shellfish toxins; phosphate; saxitoxin; saxitoxin derivatives; temperature; toxin composition; toxin content; toxin production,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,19.5,121.4881,Environmental driver,False,True,False,False,1,0.7654962489216981,0.6841118623970582,0.8293129905721397,0.7494523700758449
sxtA,salinity,GENE,ENV_FACTOR,ENV_GENE_HYPOTHESIS,12,21.0,2.8766,8024,118,68,191.0,120.0,3.0,83.3732,Alexandrium catenella; Alexandrium minutum; Alexandrium tamarense; Pyrodinium bahamense; cellular toxin; cellular toxin content; paralytic shellfish toxin; paralytic shellfish toxins; saxitoxin; toxin content; toxin production; toxin profile,ABSENT_IN;ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,105.8732,Environmental driver,True,True,False,False,0,0.8519926640461365,0.5904117431034109,0.9234275596988937,0.7402688605713782
